The address provided for the meter (LEDBETTER & MARK TRAIL, Dallas, TX 11111) does not match the oncor provided address (4300 1/...WAY)
The address provided for the meter (698 ANN ARBOR AVE, Dallas, TX 75216) does not match the oncor provided address (698 E A...AVE)
The address provided for the meter (2799 S ZANG BLVD, Dallas, TX 75224) does not match the oncor provided address (2799 N ...GNL)
The address provided for the meter (767 WEST ILLINOIS AVE, Dallas, TX 75224) does not match the oncor provided address (767 W I...NAL)
The address provided for the meter (ILLINOIS & ZANG, Dallas, TX 75224) does not match the oncor provided address (2299 S ...LVD)
The address provided for the meter (DAVIS & HAMPTON, Dallas, TX 75208) does not match the oncor provided address (2332 W ... ST)
The address provided for the meter (100A W KIEST BLVD, Dallas, TX 75224) does not match the oncor provided address (100 W K...GNL)
The address provided for the meter (1300 ZANG BLVD, Dallas, TX 75208) does not match the oncor provided address (200 W C...GNL)
The address provided for the meter (3200 LANCASTER RD, Dallas, TX 75216) does not match the oncor provided address (3200 S ... RD)
The address provided for the meter (4328 GANNON, Dallas, TX 75237) does not match the oncor provided address (@COCKRE... TS)
The address provided for the meter (4200 S MALCOLM X BLVD, Dallas, TX 75215) does not match the oncor provided address (4200 MA...GNL)
The address provided for the meter (2701 ELSIE FAYE HEGGINS ST, Dallas, TX 75215) does not match the oncor provided address (2701 HA...GNL)
The address provided for the meter (ELSIE FAYE HEGGINS & MALCOLM X, Dallas, TX 75215) does not match the oncor provided address (HATCHER...M X)
The address provided for the meter (4699 2ND AV, Dallas, TX 75215) does not match the oncor provided address (4699 S ...AVE)
The address provided for the meter (4015 ELSIE FAYE HEGGINS ST, Dallas, TX 75210) does not match the oncor provided address (4015 HA...RFC)
The address provided for the meter (BAINBRIDGE & CAMP WISDOM, Dallas, TX 75237) does not match the oncor provided address (@BAINBR...DOM)
The address provided for the meter (4005 S WALTON WALKER BLVD, Dallas, TX 75236) does not match the oncor provided address (4008 S ...LVD)
The address provided for the meter (DAVIS & COCKRELL HILL, Dallas, TX 11111) does not match the oncor provided address (@DAVIS ...ILL)
The address provided for the meter (2400 BECKLEYMEADE, Dallas, TX 75237) does not match the oncor provided address (BECKLEY...TON)
The address provided for the meter (332A W DAVIS ST, Dallas, TX 75208) does not match the oncor provided address (332 W D...L A)
The address provided for the meter (BISHOP & COLORADO, Dallas, TX 75208) does not match the oncor provided address (1200 N ...GNL)
The address provided for the meter (1100 N ZANG BLVD, Dallas, TX 75203) does not match the oncor provided address (1100 S ...LVD)
