the esi id 0007530127 with address LOOP 12 & SINGING HILLS, Dallas, TX 75241 is not active with oncor.
the esi id 0009029566 with address 703 W ILLINOIS AV, Dallas, TX 75224 is not active with oncor.
the esi id 0009027396 with address 499 S POLK ST, Dallas, TX 75208 is not active with oncor.
the esi id 0009027427 with address 401 S TYLER ST, Dallas, TX 75208 is not active with oncor.
the esi id 0008753325 with address 205 S POLK ST, Dallas, TX 75208 is not active with oncor.
the esi id 0009027768 with address 103 N POLK ST, Dallas, TX 75208 is not active with oncor.
the esi id 0009025350 with address 999 W DAVIS ST, Dallas, TX 75208 is not active with oncor.
the esi id 0009025381 with address 601 N POLK ST, Dallas, TX 75208 is not active with oncor.
the esi id 0007530065 with address JEFFERSON & TYLER, Dallas, TX 75208 is not active with oncor.
the esi id 0009027985 with address 901A W 10TH ST, Dallas, TX 75208 is not active with oncor.
the esi id 0009025412 with address 601 N TYLER ST, Dallas, TX 75208 is not active with oncor.
the esi id 0009010873 with address 799 W COLORADO BLVD, Dallas, TX 75208 is not active with oncor.
the esi id 0009027272 with address 1101 S BECKLEY AV, Dallas, TX 75203 is not active with oncor.
the esi id 0009030186 with address 2199 S CORINTH ST., Dallas, TX 75226 is not active with oncor.
the esi id 0008145477 with address 6700 KIEST, Dallas, TX 75211 is not active with oncor.
the esi id 0006816413 with address 4900 S 2ND AVE, Dallas, TX 75210 is not active with oncor.
the esi id 0006727970 with address 5000 W KIEST BLVD, Dallas, TX 75236 is not active with oncor.
the esi id 0008553499 with address 5050 W ILLINOIS AVE, Dallas, TX 75211 is not active with oncor.
the esi id 0009024296 with address 1001 S WESTMORELAND RD, Dallas, TX 75211 is not active with oncor.
the esi id 0009024265 with address 198 S WESTMORELAND RD, Dallas, TX 75211 is not active with oncor.
the esi id 0006867811 with address 100 W DAVIS ST, Dallas, TX 75208 is not active with oncor.
the esi id 0009027830 with address 399 E JEFFERSON BLVD, Dallas, TX 75203 is not active with oncor.
the esi id 0008761106 with address 120 S MARSALIS, Dallas, TX 11111 is not active with oncor.
the esi id 0008786123 with address 600 E EIGHTH, Dallas, TX 11111 is not active with oncor.
the esi id 0009015833 with address 601 E COLORADO BLVD, Dallas, TX 75203 is not active with oncor.
the esi id 7200013557 with address 3097 L B J SERV, Dallas, TX 75240 is not active with oncor.
the esi id 0009030620 with address 899 S CORINTH ST RD, Dallas, TX 75215 is not active with oncor.
the esi id 0009038525 with address 6798 S LANCASTER RD, Dallas, TX 75241 is not active with oncor.
the esi id 0009040044 with address 3499 SIMPSON STUART RD, Dallas, TX 75241 is not active with oncor.
the esi id 0009030031 with address 2298 E KIEST BLVD, Dallas, TX 75216 is not active with oncor.
the esi id 0008209585 with address 3000 E ILLINOIS AVE, Dallas, TX 75216 is not active with oncor.
the esi id 0009030403 with address 3398 CEDAR CREST BLVD, Dallas, TX 75203 is not active with oncor.
the esi id 0009016174 with address 1520 MARTIN LUTHER KING BLVD, Dallas, TX 75215 is not active with oncor.
the esi id 0008569433 with address 7701A S CENTRAL EXPWY, Dallas, TX 75216 is not active with oncor.
the esi id 0007302059 with address 2700 WILLOWBROOK RD, Dallas, TX 75220 is not active with oncor.
the esi id 0007826239 with address NORTHWEST HWY & COMMUNITY, Dallas, TX 75220 is not active with oncor.
the esi id 0008815573 with address 3399 W NORTHWEST HWY, Dallas, TX 75220 is not active with oncor.
the esi id 0008815666 with address 9637 WEBB CHAPEL RD, Dallas, TX 75220 is not active with oncor.
the esi id 0007302121 with address 2700 LOMBARDY LN, Dallas, TX 75220 is not active with oncor.
the esi id 0008811822 with address 2803 WALNUT HILL LN, Dallas, TX 75229 is not active with oncor.
the esi id 0008256373 with address 2739 SOUTHWELL RD, Dallas, TX 75229 is not active with oncor.
the esi id 0007479752 with address DENTON & ROYAL, Dallas, TX 75229 is not active with oncor.
the esi id 0007826301 with address BROCKBANK & LOMBARDY, Dallas, TX 75220 is not active with oncor.
the esi id 0008843380 with address 6998 HARRY HINES, Dallas, TX 75235 is not active with oncor.
the esi id 0008879061 with address 4540 HARRY HINES, Dallas, TX 75219 is not active with oncor.
the esi id 0008890531 with address 2201 N ST PAUL, Dallas, TX 75201 is not active with oncor.
the esi id 0009045593 with address 801 OLIVE, Dallas, TX 75201 is not active with oncor.
the esi id 0008856803 with address 4201 CEDAR SPRINGS, Dallas, TX 75219 is not active with oncor.
the esi id 0008846511 with address 5101 LEMMON, Dallas, TX 75235 is not active with oncor.
the esi id 0008856834 with address 3441 DOUGLAS AVE, Dallas, TX 75219 is not active with oncor.
the esi id 0008857919 with address 3602 LEMMON AVE, Dallas, TX 75219 is not active with oncor.
the esi id 0008858043 with address 3603 BLACKBURN, Dallas, TX 75219 is not active with oncor.
the esi id 0009050708 with address 198 S GRIFFIN, Dallas, TX 75202 is not active with oncor.
the esi id 0009057497 with address 399 S GRIFFIN, Dallas, TX 75202 is not active with oncor.
the esi id 0009042152 with address 199 N GRIFFIN ST, Dallas, TX 75201 is not active with oncor.
the esi id 0009049964 with address 398 S FIELD, Dallas, TX 75202 is not active with oncor.
the esi id 0009050305 with address 1306 JACKSON ST, Dallas, TX 75202 is not active with oncor.
the esi id 0009050677 with address 199 S FIELD, Dallas, TX 75202 is not active with oncor.
the esi id 0009047763 with address 1403 WOOD ST, Dallas, TX 75201 is not active with oncor.
the esi id 0009047732 with address 1402 JACKSON ST, Dallas, TX 75202 is not active with oncor.
the esi id 0009047360 with address 1399 COMMERCE ST, Dallas, TX 75202 is not active with oncor.
the esi id 0009059078 with address 1502 COMMERCE, Dallas, TX 75201 is not active with oncor.
the esi id 0009067045 with address 1698 JACKSON, Dallas, TX 75201 is not active with oncor.
the esi id 0008884672 with address 2512 HARRY HINES BLVD, Dallas, TX 75201 is not active with oncor.
the esi id 0008887865 with address 2024 MOODY ST, Dallas, TX 75201 is not active with oncor.
the esi id 0008845178 with address 3911 BLUFFVIEW BLVD, Dallas, TX 75209 is not active with oncor.
the esi id 0008815821 with address 3997 WALNUT HILL LN, Dallas, TX 75229 is not active with oncor.
the esi id 0008811791 with address 3701 ROYAL LN, Dallas, TX 75229 is not active with oncor.
the esi id 0008815945 with address 10164 MIDWAY RD, Dallas, TX 75229 is not active with oncor.
the esi id 0008832437 with address 8501 DALLAS NORTH TOLLWAY, Dallas, TX 75209 is not active with oncor.
the esi id 0008832809 with address 6001 W NORTHWEST HWY, Dallas, TX 75225 is not active with oncor.
the esi id 0006619191 with address 10601 PRESTON RD, Dallas, TX 75230 is not active with oncor.
the esi id 0008816007 with address 5999 ROYAL LN, Dallas, TX 75230 is not active with oncor.
the esi id 0009066673 with address 1698 CANTON, Dallas, TX 75201 is not active with oncor.
the esi id 0009059016 with address 1698 CADIZ, Dallas, TX 11111 is not active with oncor.
the esi id 0009063635 with address 1699 YOUNG, Dallas, TX 75201 is not active with oncor.
the esi id 0009063325 with address 1700 WOOD, Dallas, TX 75201 is not active with oncor.
the esi id 0009046275 with address 1999 LIVE OAK, Dallas, TX 75201 is not active with oncor.
the esi id 0009063170 with address 2101 JACKSON, Dallas, TX 75201 is not active with oncor.
the esi id 0009044911 with address 2101 COMMERCE, Dallas, TX 75201 is not active with oncor.
the esi id 0009046430 with address 2101A MAIN ST, Dallas, TX 75201 is not active with oncor.
the esi id 0009045221 with address 2199 JACKSON, Dallas, TX 75201 is not active with oncor.
the esi id 0009045531 with address 2201 PACIFIC, Dallas, TX 75201 is not active with oncor.
the esi id 0009044694 with address 301 N CENTRAL, Dallas, TX 75201 is not active with oncor.
the esi id 0009045128 with address 2199 MAIN ST, Dallas, TX 75201 is not active with oncor.
the esi id 0002131116 with address 214 N CESAR CHAVEZ BLVD, Dallas, TX 75201 is not active with oncor.
the esi id 0009044880 with address 200 CESAR CHAVEZ, Dallas, TX 11111 is not active with oncor.
the esi id 0009012733 with address 2101 S ERVAY ST, Dallas, TX 75215 is not active with oncor.
the esi id 0009046678 with address 2615 COMMERCE, Dallas, TX 75226 is not active with oncor.
the esi id 0009164044 with address 502 N PEARL, Dallas, TX 75201 is not active with oncor.
